manufacturer,model_name,category,screen_size,screen,ram,storage,operating_system,operating_system_version,weight,price,cpu_brand,cpu_speed,cpu_name,gpu_brand,gpu_name,screen_type
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Windows,10,1.42,249.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Windows,10,1.65,199.0,AMD,1.5,E-Series E2-6110 ,AMD,Radeon R2,Not Touchscreen
Mediacom,SmartBook 140,Notebook,"14.0""",Full HD 1920x1080,2GB,32GB Flash Storage,Windows,10,1.4,239.0,Intel,1.44,Atom x5-Z8350 ,Intel,HD Graphics,Not Touchscreen
Asus,Vivobook E200HA,Netbook,"11.6""",1366x768,2GB,32GB Flash Storage,Windows,10,0.98,191.9,Intel,1.44,Atom x5-Z8350 ,Intel,HD Graphics 400,Not Touchscreen
Asus,VivoBook E12,Netbook,"11.6""",1366x768,2GB,32GB Flash Storage,Windows,10,1.1,245.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
Lenovo,Lenovo IdeaPad,Notebook,"11.6""",1366x768,2GB,32GB Flash Storage,Windows,10,1.15,304.45,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Not Touchscreen
HP,Stream 14-AX000nv,Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Windows,10,1.44,249.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
HP,Stream 14-AX001nv,Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Windows,10,1.44,279.0,Intel,1.6,Celeron Dual Core N3060 ,Intel,HD Graphics 400,Not Touchscreen
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,2GB,64GB Flash Storage,Windows,10,1.5,229.0,Intel,1.6,Celeron Dual Core N3050 ,Intel,HD Graphics,Not Touchscreen
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,2GB,32GB Flash Storage,Windows,10,1.1,275.0,Intel,1.1,Celeron Dual Core N3350 ,Intel,HD Graphics 500,Touchscreen
